"","...1","Class","Score","Magnitude","Judgement","Talk_Means","Talk_SDs","Emojis_Handraises","Video.Mean","Video.SD","Prep.Mean","Prep.SD","Class.Date","Number.of.Students","Prof_Talk_Time","Grades.Mean","Grades.SD"
"1",0,"Class_1.1.wav",-0.100000001,5.5,-0.5500000055,147.375,83.1222994548795,86,3.578947368,0.493727975,0,0,"1/13/2020",18,2208,3.578947368,0.493727975
"2",1,"Class_1.2.wav",-0.200000003,8.399999619,-1.679999949,133,55.3805019840016,124,0,0,3.105263158,0.306892205,"1/15/2020",19,2081,3.105263158,0.306892205
"3",2,"Class_2.1.wav",-0.300000012,9.699999809,-2.9100000591,150.733333333333,108.22032200672,133,3.333333333,0.596284794,0,0,"1/20/2020",17,2175,3.333333333,0.596284794
"4",3,"Class_2.2.wav",-0.300000012,8.800000191,-2.6400001629,132,91.1511565112222,118,0,0,3.65,0.476969601,"1/22/2020",18,2148,3.65,0.476969601
"5",4,"Class_3.1.wav",-0.400000006,10.39999962,-4.1599999104,140.058823529412,63.1886763869082,167,3.578947368,0.493727975,0,0,"1/27/2020",19,2164,3.578947368,0.493727975
"8",7,"Class_4.2.wav",-0.200000003,10.19999981,-2.0399999926,160.8125,119.6891633914,131,3.714285714,0.451753952,0,0,"2/5/2020",18,1417,3.714285714,0.451753952
"9",8,"Class_5.1.wav",0,6.699999809,0,109,83.2314043295358,91,3.421052632,0.493727975,3,0,"2/10/2020",18,1952,6.421052632,0.493727975
"10",9,"Class_5.2.wav",-0.200000003,5.300000191,-1.0600000541,92.9411764705882,49.9930877575032,112,0,0,3.227272727,0.669587267,"2/12/2020",19,1789,3.227272727,0.669587267
"12",11,"Class_7.1.wav",-0.100000001,6.5,-0.6500000065,111.5,44.5555832640535,91,0,0,3.722222222,0.447903208,"2/24/2020",18,1596,3.722222222,0.447903208
"13",12,"Class_7.2.wav",-0.200000003,8,-1.600000024,103.117647058824,49.6070589142074,133,3.380952381,0.652919486,0,0,"2/26/2020",19,2351,3.380952381,0.652919486
"14",13,"Class_8.1.wav",0,8.899999619,0,194,133.171568537232,162,0,0,3.333333333,0.56343617,"3/2/2020",18,2311,3.333333333,0.56343617
"15",14,"Class_8.2.wav",-0.200000003,5.900000095,-1.1800000367,149.352941176471,103.27145126829,89,3.733333333,0.442216639,0,0,"3/4/2020",19,1628,3.733333333,0.442216639
"16",15,"Class_9.1.wav",0,1.299999952,0,124.333333333333,73.0055444730708,104,3.454545455,0.497929598,0,0,"3/9/2020",17,1939,3.454545455,0.497929598
"19",18,"Class_10.2.wav",-0.100000001,7.5,-0.7500000075,151.714285714286,86.6224598441452,141,0,0,3,0,"3/18/2020",16,2547,3,0
